route_id,stop_name_1,stop_name_2
17522,ROTTERDAM CENTRAAL,SCHIPHOL AIRPORT
17522,SCHIPHOL AIRPORT,AMSTERDAM CENTRAAL
17562,UTRECHT CENTRAAL,GOUDA
17562,GOUDA,ROTTERDAM ALEXANDER
17562,ROTTERDAM ALEXANDER,ROTTERDAM CENTRAAL
17573,LEIDEN CENTRAAL,LEIDEN LAMMENSCHANS
17573,LEIDEN LAMMENSCHANS,ALPHEN A/D RIJN
17573,ALPHEN A/D RIJN,BODEGRAVEN
17573,BODEGRAVEN,WOERDEN
17573,WOERDEN,UTRECHT CENTRAAL
17599,ALMERE OOSTVAARDERS,ALMERE BUITEN
17599,ALMERE BUITEN,ALMERE PARKWIJK
17599,ALMERE PARKWIJK,ALMERE CENTRUM
17599,ALMERE CENTRUM,ALMERE MUZIEKWIJK
17599,ALMERE MUZIEKWIJK,ALMERE POORT
17599,ALMERE POORT,WEESP
17599,WEESP,DIEMEN ZUID
17599,DIEMEN ZUID,DUIVENDRECHT
17599,DUIVENDRECHT,AMSTERDAM RAI
17599,AMSTERDAM RAI,AMSTERDAM ZUID
17599,AMSTERDAM ZUID,SCHIPHOL AIRPORT
17599,SCHIPHOL AIRPORT,HOOFDDORP
17601,DEN HAAG CENTRAAL,GOUDA
17601,GOUDA,UTRECHT CENTRAAL
17601,UTRECHT CENTRAAL,AMERSFOORT CENTRAAL
17601,AMERSFOORT CENTRAAL,AMERSFOORT SCHOTHORST
17614,ROTTERDAM CENTRAAL,ROTTERDAM ALEXANDER
17614,ROTTERDAM ALEXANDER,GOUDA
17614,GOUDA,UTRECHT CENTRAAL
17614,UTRECHT CENTRAAL,AMERSFOORT CENTRAAL
17614,AMERSFOORT CENTRAAL,ZWOLLE
17614,ZWOLLE,ASSEN
17614,ASSEN,GRONINGEN
17615,BREDA,ROTTERDAM CENTRAAL
17615,ROTTERDAM CENTRAAL,SCHIPHOL AIRPORT
17615,SCHIPHOL AIRPORT,AMSTERDAM CENTRAAL
17620,MEPPEL,STEENWIJK
17620,STEENWIJK,WOLVEGA
17620,WOLVEGA,HEERENVEEN
17620,HEERENVEEN,AKKRUM
17620,AKKRUM,GROU-JIRNSUM
17620,GROU-JIRNSUM,LEEUWARDEN
17627,BAARN,SOESTDIJK
17627,SOESTDIJK,SOEST
17627,SOEST,SOEST ZUID
17627,SOEST ZUID,DEN DOLDER
17627,DEN DOLDER,BILTHOVEN
17627,BILTHOVEN,UTRECHT OVERVECHT
17627,UTRECHT OVERVECHT,UTRECHT CENTRAAL
17641,ZWOLLE,WEZEP
17641,WEZEP,HARDE ('T)
17641,HARDE ('T),NUNSPEET
17641,NUNSPEET,HARDERWIJK
17641,HARDERWIJK,ERMELO
17641,ERMELO,PUTTEN
17641,PUTTEN,NIJKERK
17641,NIJKERK,AMERSFOORT VATHORST
17641,AMERSFOORT VATHORST,AMERSFOORT SCHOTHORST
17641,AMERSFOORT SCHOTHORST,AMERSFOORT CENTRAAL
17641,AMERSFOORT CENTRAAL,DEN DOLDER
17641,DEN DOLDER,BILTHOVEN
17641,BILTHOVEN,UTRECHT OVERVECHT
17641,UTRECHT OVERVECHT,UTRECHT CENTRAAL
17651,UTRECHT CENTRAAL,UTRECHT LEIDSCHE RIJN
17651,UTRECHT LEIDSCHE RIJN,UTRECHT TERWIJDE
17651,UTRECHT TERWIJDE,VLEUTEN
17651,VLEUTEN,WOERDEN
17651,WOERDEN,GOUDA GOVERWELLE
17651,GOUDA GOVERWELLE,GOUDA
17651,GOUDA,NIEUWERKERK AD IJSSEL
17651,NIEUWERKERK AD IJSSEL,CAPELLE SCHOLLEVAAR
17651,CAPELLE SCHOLLEVAAR,ROTTERDAM ALEXANDER
17651,ROTTERDAM ALEXANDER,ROTTERDAM NOORD
17651,ROTTERDAM NOORD,ROTTERDAM CENTRAAL
17658,ZWOLLE,WIJHE
17658,WIJHE,OLST
17658,OLST,DEVENTER
17658,DEVENTER,ZUTPHEN
17658,ZUTPHEN,DIEREN
17658,DIEREN,ARNHEM CENTRAAL
17658,ARNHEM CENTRAAL,NIJMEGEN
17658,NIJMEGEN,OSS
17658,OSS,HERTOGENBOSCH ('S)
17658,HERTOGENBOSCH ('S),TILBURG
17658,TILBURG,BREDA
17658,BREDA,ETTEN-LEUR
17658,ETTEN-LEUR,ROOSENDAAL
17661,DEN HAAG CENTRAAL,LEIDEN CENTRAAL
17661,LEIDEN CENTRAAL,HEEMSTEDE-AERDENHOUT
17661,HEEMSTEDE-AERDENHOUT,HAARLEM
17661,HAARLEM,AMSTERDAM SLOTERDIJK
17661,AMSTERDAM SLOTERDIJK,AMSTERDAM CENTRAAL
17705,ENSCHEDE,HENGELO
17705,HENGELO,ALMELO
17705,ALMELO,DEVENTER
17705,DEVENTER,APELDOORN
17705,APELDOORN,AMERSFOORT CENTRAAL
17705,AMERSFOORT CENTRAAL,UTRECHT CENTRAAL
17705,UTRECHT CENTRAAL,GOUDA
17705,GOUDA,DEN HAAG CENTRAAL
17725,HANNOVER HBF,MINDEN (WESTF)
17725,MINDEN (WESTF),BAD OEYNHAUSEN
17725,BAD OEYNHAUSEN,OSNABRUCK HBF
17725,OSNABRUCK HBF,RHEINE
17725,RHEINE,BAD BENTHEIM
17725,BAD BENTHEIM,HENGELO
17725,HENGELO,ALMELO
17725,ALMELO,DEVENTER
17725,DEVENTER,APELDOORN
17725,APELDOORN,AMERSFOORT CENTRAAL
17725,AMERSFOORT CENTRAAL,HILVERSUM
17725,HILVERSUM,AMSTERDAM CENTRAAL
17748,ROTTERDAM CENTRAAL,ROTTERDAM NOORD
17748,ROTTERDAM NOORD,ROTTERDAM ALEXANDER
17748,ROTTERDAM ALEXANDER,CAPELLE SCHOLLEVAAR
17748,CAPELLE SCHOLLEVAAR,NIEUWERKERK AD IJSSEL
17748,NIEUWERKERK AD IJSSEL,GOUDA
17748,GOUDA,GOUDA GOVERWELLE
17748,GOUDA GOVERWELLE,WOERDEN
17748,WOERDEN,BREUKELEN
17748,BREUKELEN,ABCOUDE
17748,ABCOUDE,AMSTERDAM HOLENDRECHT
